有研究表明，积极的心理暗示会帮你取得成功。	yǒuyánjīubiǎomíng，jījídexīnlǐànshìhùibāngnǐqǔdéchénggōng。	Studies have shown that positive psychological hint will help you succeed.
你还可以时不时地想象你今后成功的样子，比如一、两年后的你是如何与你的中国朋友们谈笑风生1而没有任何压力；作为公司老板的你是如何在中国直接用中文与客户谈生意，一下子就拉近了你们的距离，生意也就很快谈成了等等。	nǐhuánkěyǐshíbùshídìxiǎngxiàngnǐjīnhòuchénggōngdeyángzǐ，bǐrúyī、liǎngniánhòudenǐshìrúhéyǔnǐdezhōngguópéngyǒumentánxiàofēngshēng1érméiyǒurènhéyālì；zuòwèigōngsīlǎobǎndenǐshìrúhézàizhōngguózhíjiēyòngzhōngwényǔkèhùtánshēngyì，yīxiàzǐjìulājìnlenǐmendejùlí，shēngyìyějìuhěnkuàitánchéngleděngděng。	You can also from time to time in the future you imagine success looks like one or two years after you is how 1 without any pressure talking with your Chinese friends; as the company boss how you use Chinese to talk directly with customers in China business, you suddenly narrowed the distance, the business will soon negotiate and so on.
大胆地去想象你最想达成的目标，想象你的成功，那你就会充满动力而不会拖延。	dàdǎndìqùxiǎngxiàngnǐzùixiǎngdáchéngdemùbiāo，xiǎngxiàngnǐdechénggōng，nànǐjìuhùichōngmǎndònglìérbùhùituōyán。	Bold to imagine objective you most want to achieve, imagine your success, you will be motivated without delay.
把长期目标具体化，把大目标化小；设立奖励制度。	bǎchángqīmùbiāojùtǐhuà，bǎdàmùbiāohuàxiǎo；shèlìjiǎnglìzhìdù。	The long-term goal specific, target of the little big; the establishment of reward system.
如果你给自己定的目标太高、太过于抽象，就容易拖延或放弃。	rúguǒnǐgěizìjǐdìngdemùbiāotàigāo、tàiguòyúchōuxiàng，jìuróngyìtuōyánhuòfàngqì。	If you've set goals too high, too abstract, it is easy to delay or abandon.
抽象是指不具体、细节不明确。	chōuxiàngshìzhǐbùjùtǐ、xìjiébùmíngquè。	Abstract means that no specific details are not clear.
人们总是倾向于完成离自己能力更近、看上去更容易完成的目标。	rénmenzǒngshìqīngxiàngyúwánchénglízìjǐnénglìgèngjìn、kànshàngqùgèngróngyìwánchéngdemùbiāo。	People tend to leave their ability to complete more recent, the goal looks more easily accomplished.
因此，首先你要为自己设立合理的、符合自己能力的目标。	yīncǐ，shǒuxiānnǐyàowèizìjǐshèlìhélǐde、fúhézìjǐnénglìdemùbiāo。	So, first you have to set up their own sound, their own ability to meet the objectives.
然后，将这个目标具体化。	ránhòu，jiāngzhègèmùbiāojùtǐhuà。	Then, this target specific.
接下来，为它设立若干个小任务，每个小任务就会变得更容易实现，也会为你达成整个大目标增添信心。	jiēxiàlái，wèitāshèlìruògāngèxiǎorènwù，měigèxiǎorènwùjìuhùibiàndégèngróngyìshíxiàn，yěhùiwèinǐdáchéngzhěnggèdàmùbiāozēngtiānxìnxīn。	Next, it set up a number of small tasks, each small task will be easier to implement and achieve the overall goals to add to your confidence.
比如，一个月掌握中文就是一个太高且太过抽象的目标。	bǐrú，yīgèyuèzhǎngwòzhōngwénjìushìyīgètàigāoqiětàiguòchōuxiàngdemùbiāo。	For example, a month to master Chinese is too abstract and too high a goal.
首先，谁都不可能一个月掌握中文。	shǒuxiān，shúidūbùkěnéngyīgèyuèzhǎngwòzhōngwén。	First of all, no one can master the Chinese a month.
其次，什么叫掌握中文？	qícì，shíyāojiàozhǎngwòzhōngwén？	Secondly, what is to master Chinese?
是掌握中文的听？	shìzhǎngwòzhōngwéndetīng？	It is to master the Chinese listening?
说？	shuō？	Say?
读？	dú？	read?
写？	xiě？	write?
还是语法？	huánshìyǔfǎ？	Or grammar?
拼音？	pīnyīn？	pinyin?
如果你给自己定下这样一个目标，我不会惊讶你很快就会进行拖延或放弃。	rúguǒnǐgěizìjǐdìngxiàzhèyángyīgèmùbiāo，wǒbùhùiliángyànǐhěnkuàijìuhùijìnxíngtuōyánhuòfàngqì。	If you set himself such a goal, I would not be surprised that you will soon be delayed or abandoned.
那我们怎样去优化这个目标呢？	nàwǒmenzěnyángqùyōuhuàzhègèmùbiāoní？	How do we go to optimize this goal?
比如：三年内流利地说中文、可以与别人用中文交流大多数的话题而没有障碍。	bǐrú：sānniánnèilíulìdìshuōzhōngwén、kěyǐyǔbiérényòngzhōngwénjiāolíudàduōshùdehuàtíérméiyǒuzhàngài。	For example: speak Chinese fluently within three years, most of the topics can communicate with the Chinese and others without obstacles.
显然这个目标就比前面的要具体多了。	xiǎnránzhègèmùbiāojìubǐqiánmiàndeyàojùtǐduōle。	Obviously, this goal is much more concrete than to the front.
然后，为了完成它你得设立多个小任务，比如：每天上、下班路上听《自然而然说中文》，吃完晚饭朗读节目文本、模仿发音，每学一个新成语就找机会在生活中使用它，每次去中餐馆就用中文点餐等。	ránhòu，wèilewánchéngtānǐdéshèlìduōgèxiǎorènwù，bǐrú：měitiānshàng、xiàbānlùshàngtīng《zìránérránshuōzhōngwén》，chīwánwǎnfànlǎngdújiémùwénběn、mófǎngfāyīn，měixuéyīgèxīnchéngyǔjìuzhǎojīhùizàishēnghuózhōngshǐyòngtā，měicìqùzhōngcānguǎnjìuyòngzhōngwéndiǎncānděng。	Then, in order to complete it you have to set up a number of small tasks, such as: the daily commute to listen to naturally speak Chinese, after dinner reading program text, pronunciation to imitate, learn a new idiom every opportunity to use it to find in life every time I go to a Chinese restaurant meal and so on.
在完成每一个小任务后，你就会真切的感受到完成一件事情的成就感，增加你对最终完成这个大目标的信心。	zàiwánchéngměiyīgèxiǎorènwùhòu，nǐjìuhùizhēnqiēdegǎnshòudàowánchéngyījiànshìqíngdechéngjìugǎn，zēngjiānǐdùizùizhōngwánchéngzhègèdàmùbiāodexìnxīn。	Upon completion of each small task, you will feel the real sense of achievement to complete one thing, increase your confidence in the ultimate completion of this big goal.
在完成小任务后，你还可以给自己一个奖励，可以是任何你喜欢的东西。	zàiwánchéngxiǎorènwùhòu，nǐhuánkěyǐgěizìjǐyīgèjiǎnglì，kěyǐshìrènhénǐxǐhuāndedōngxī。	After completing small tasks, you can give yourself a reward can be anything you like something.
比如，看一集你喜欢的电视剧，吃你喜欢的零食等。	bǐrú，kànyījínǐxǐhuāndediànshìjù，chīnǐxǐhuāndelíngshíděng。	For example, look at an episode of your favorite TV shows, eat your favorite snacks.
在不间断地完成一个月的小任务后，你还可以增加奖励的力度。	zàibùjiānduàndìwánchéngyīgèyuèdexiǎorènwùhòu，nǐhuánkěyǐzēngjiājiǎnglìdelìdù。	After completing small tasks one month without interruption, you can also increase the intensity of the reward.
比如去你最喜欢的饭店吃饭，去买那件你一直想要的衣服等。	bǐrúqùnǐzùixǐhuāndefàndiànchīfàn，qùmǎinàjiànnǐyīzhíxiǎngyàodeyīfúděng。	For example, go to your favorite restaurant for dinner, you always wanted to buy that piece of clothes.
这种奖励的方法可以减少你拖延的概率。	zhèzhǒngjiǎnglìdefāngfǎkěyǐjiǎnshǎonǐtuōyándegàilv̀。	This method can reduce the probability of reward you delay.
它的有效性我也曾在小学教书时在小朋友们的身上验证过。	tādeyǒuxiàoxìngwǒyěcéngzàixiǎoxuéjiàoshūshízàixiǎopéngyǒumendeshēnshàngyànzhèngguò。	Its effectiveness in primary school teaching I have proven in the children's body.
当时为了调动他们的学习积极性，我准备了一些上面刻着super、great等有鼓励话语的漂亮的印章，每当他们完成一项我交给的小任务时，我就会给他们的书上盖一个印章，当集齐 10 个印章后他们就可以找我兑换一个小礼物。	dāngshíwèilediàodòngtāmendexuéxíjījíxìng，wǒzhǔnbèileyīxiēshàngmiànkèzháosuper、greatděngyǒugǔlìhuàyǔdepiāoliàngdeyìnzhāng，měidāngtāmenwánchéngyīxiàngwǒjiāogěidexiǎorènwùshí，wǒjìuhùigěitāmendeshūshànggàiyīgèyìnzhāng，dāngjíqí 10 gèyìnzhānghòutāmenjìukěyǐzhǎowǒdùihuànyīgèxiǎolǐwù。	At that time in order to mobilize their enthusiasm for learning, I've got some inscribed super , great and other words of encouragement beautiful seal, every time they complete a small task that I was given when I will give them books Place a seal, when the seal assembly of 10 they could find me a small gift exchange.
用这个方法，每个小朋友在学习上都变得更加积极主动了。	yòngzhègèfāngfǎ，měigèxiǎopéngyǒuzàixuéxíshàngdūbiàndégèngjiājījízhǔdòngle。	With this method, each child in learning have become a more proactive.
学会利用碎片时间，把你想要达成的长期目标转化成生活习惯。	xuéhùilìyòngsùipiànshíjiān，bǎnǐxiǎngyàodáchéngdechángqīmùbiāozhuǎnhuàchéngshēnghuóxíguàn。	Learn to use fragments of time, you want to reach a long-term goal is converted into habits.
拖延症产生的一个很大原因是你不知道怎么去合理地支配时间以及没法说服自己走出你的心理舒适区去完成一些需要付出努力或你不太感兴趣的任务。	tuōyánzhèngchǎnshēngdeyīgèhěndàyuányīnshìnǐbùzhīdàozěnyāoqùhélǐdìzhīpèishíjiānyǐjíméifǎshuōfúzìjǐzǒuchūnǐdexīnlǐshūshìqūqùwánchéngyīxiēxūyàofùchūnǔlìhuònǐbùtàigǎnxīngqùderènwù。	A big reason for procrastination is generated you do not know how to spend your time and could not reasonably convince yourself out of your comfort zone to do some mental effort required or you are not interested in the job.
学会利用碎片时间可以帮助你更好地掌控时间，而把任务转换成习惯会大大减少你去做还是不去做的思想斗争出现的频率。	xuéhùilìyòngsùipiànshíjiānkěyǐbāngzhùnǐgènghǎodìzhǎngkòngshíjiān，érbǎrènwùzhuǎnhuànchéngxíguànhùidàdàjiǎnshǎonǐqùzuòhuánshìbùqùzuòdesīxiǎngdǒuzhēngchūxiàndepínlv̀。	Learn to use fragments of time can help you better manage time, but to convert the task into a habit will greatly reduce the frequency you do or do not ideological struggle arise.
关于什么是碎片时间、如何利用碎片时间和如何把任务转化成新的习惯我在这里就不再重复了，在 第 三 、第 四 期节目中我已详细说过了这个话题。	guānyúshíyāoshìsùipiànshíjiān、rúhélìyòngsùipiànshíjiānhérúhébǎrènwùzhuǎnhuàchéngxīndexíguànwǒzàizhèlǐjìubùzàizhòngfùle，zài dì sān 、dì sì qījiémùzhōngwǒyǐxiángxìshuōguòlezhègèhuàtí。	What is debris on time, how to use fragments of time and how the task is converted into new habits I will not repeat it here, in the third, fourth phase of the program I have talked in detail this topic.
还没有收听的朋友们可以点击文本里的链接去收听。	huánméiyǒushōutīngdepéngyǒumenkěyǐdiǎnjíwénběnlǐdeliànjiēqùshōutīng。	Not listen to friends can click on the link in the text to listen to.
如何决定完成任务的先后顺序。	rúhéjuédìngwánchéngrènwùdexiānhòushùnxù。	How do you decide the order to complete the task.
美国管理学家科维提出了一个时间管理理论：时间四象限法， 它可以帮你决定任务完成的先后顺序。	měiguóguǎnlǐxuéjiākēwéitíchūleyīgèshíjiānguǎnlǐlǐlùn：shíjiānsìxiàngxiànfǎ， tākěyǐbāngnǐjuédìngrènwùwánchéngdexiānhòushùnxù。	American management expert Covey time management proposed a theory: time four-quadrant approach, it can help you determine the task to complete the order.
把重要且紧急的任务放在每天第一时间去做，比如你今天下午 2：30 要去一个公司参加中文面试，那你早上一起来吃完饭就要准备好你过会儿要穿的衣服、鞋子、需要带的简历等文件，口头练习自我介绍和可能会被问到的问题。	bǎzhòngyàoqiějǐnjíderènwùfàngzàiměitiāndìyīshíjiānqùzuò，bǐrúnǐjīntiānxiàwǔ 2：30 yàoqùyīgègōngsīcānjiāzhōngwénmiànshì，nànǐzǎoshàngyīqǐláichīwánfànjìuyàozhǔnbèihǎonǐguòhùiéryàochuāndeyīfú、xiézǐ、xūyàodàidejiǎnlìděngwénjiàn，kǒutóuliànxízìwǒjièshàohékěnénghùibèiwèndàodewèntí。	The important and urgent task to do it on the first time each day, such as you this afternoon at 2:30 to go to a Chinese company to participate in an interview, that you take a morning meal will be ready to wear the clothes you had a moment , shoes, need to bring a resume and other documents, oral practice self-introduction and questions may be asked.
如果你做完了那些任务还有多余时间，你就可以做重要但不紧急的任务。	rúguǒnǐzuòwánlenàxiērènwùhuányǒuduōyúshíjiān，nǐjìukěyǐzuòzhòngyàodànbùjǐnjíderènwù。	If you finished those tasks have extra time, you can do the important but not urgent tasks.
比如你的长期目标是学会写 1000 个汉字，你就可以开始练习今天的书写任务了。	bǐrúnǐdechángqīmùbiāoshìxuéhùixiě 1000 gèhànzì，nǐjìukěyǐkāishǐliànxíjīntiāndeshūxiěrènwùle。	For instance, your long-term goal is to learn to write 1,000 Chinese characters, you can start practicing today writing task.
如果你完成这个任务后还有多余的时间，你就可以选择性地做一些紧急但不重要的任务，比如看一个 youtube 上你关注的游戏直播、看电视上的足球直播等。	rúguǒnǐwánchéngzhègèrènwùhòuhuányǒuduōyúdeshíjiān，nǐjìukěyǐxuǎnzéxìngdìzuòyīxiējǐnjídànbùzhòngyàoderènwù，bǐrúkànyīgè youtube shàngnǐguānzhùdeyóuxìzhíbō、kàndiànshìshàngdezúqíuzhíbōděng。	If you complete this task as well as extra time, you can selectively do some urgent but not important tasks, such as watching a game live on youtube you care to see live football on television.
减少或不做不重要也不紧急的任务 。	jiǎnshǎohuòbùzuòbùzhòngyàoyěbùjǐnjíderènwù 。	Reduction or not is not important nor urgent task.
比如翻看朋友圈、facebook、看电视等。	bǐrúfānkànpéngyǒuquān、facebook、kàndiànshìděng。	For example, look at the circle of friends, facebook, watching television.
番茄工作法。	fānqiégōngzuòfǎ。	Pomodoro.
你听过番茄工作法吗？	nǐtīngguòfānqiégōngzuòfǎma？	Have you ever heard Pomodoro law?
它是由意大利人 Francesco 在 1980 年提出的时间管理法。	tāshìyóuyìdàlìrén Francesco zài 1980 niántíchūdeshíjiānguǎnlǐfǎ。	It was proposed by the Italian Francesco 1980 Time Management Act.
这个方法可以帮你集中注意力、防止拖延。	zhègèfāngfǎkěyǐbāngnǐjízhōngzhùyìlì、fángzhǐtuōyán。	This approach can help you focus, to prevent delays.
它有五个基本步骤：决定你要完成的任务。	tāyǒuwǔgèjīběnbùzòu：juédìngnǐyàowánchéngderènwù。	It has five basic steps: decide what you want to accomplish.
（可以是一个比较复杂、耗时的任务，也可以是若干个不同的小任务。）	（kěyǐshìyīgèbǐjiàofùzá、hàoshíderènwù，yěkěyǐshìruògāngèbùtóngdexiǎorènwù。）	(It can be a complex, time-consuming task, it can be several different small tasks.)
定时 25 分钟。	dìngshí 25 fēnzhōng。	Timing of 25 minutes.
（可以是闹钟、手机等。）	（kěyǐshìnàozhōng、shǒujīděng。）	(Can be alarm clock, cell phone, etc.)
持续工作直至定时器提示,在纸上记下一个标记 x。）	chíxùgōngzuòzhízhìdìngshíqìtíshì,zàizhǐshàngjìxiàyīgèbiāojì x。）	Continue to work until the timer tips, write down on paper a mark x. )
短暂休息 3-5 分钟。	duǎnzànxīuxī 3-5 fēnzhōng。	A short break for 3-5 minutes.
（你可以喝一杯咖啡、看看窗外或是吃一个苹果等。）	（nǐkěyǐhēyībēikāfēi、kànkànchuāngwàihuòshìchīyīgèpíngguǒděng。）	(You can drink a cup of coffee, look out the window or eat an apple and so on.)
纸上每四个标记 x，休息 15-30 分钟。	zhǐshàngměisìgèbiāojì x，xīuxī 15-30 fēnzhōng。	Each of the four marks on paper x, rest for 15-30 minutes.
（这时你可以看一会儿电视、玩一会儿手机等。）	（zhèshínǐkěyǐkànyīhùiérdiànshì、wányīhùiérshǒujīděng。）	(Then you can watch TV for a while, playing for a while mobile phones.)
远离外界诱惑。	yuǎnlíwàijièyòuhuò。	Away from the temptation of the outside world.
比如当你在利用番茄工作法时，要注意排除外界诱惑。	bǐrúdāngnǐzàilìyòngfānqiégōngzuòfǎshí，yàozhùyìpáichúwàijièyòuhuò。	For example, when you use the Pomodoro Technique , pay attention to the temptation to exclude the outside world.
比如手机、电脑、电视等，尽量在一个没有这些设备的房间里去完成你需要完成的任务。	bǐrúshǒujī、diànnǎo、diànshìděng，jǐnliàngzàiyīgèméiyǒuzhèxiēshèbèidefángjiānlǐqùwánchéngnǐxūyàowánchéngderènwù。	Such as mobile phones, computers, television, etc., as much as possible in a not finished room you need to accomplish these devices go.
如果是必须要用电脑完成的任务，你可以先搜集你需要在网上查找的信息，保存下来，再切断网络连接进行工作。	rúguǒshìbìxūyàoyòngdiànnǎowánchéngderènwù，nǐkěyǐxiānsōujínǐxūyàozàiwǎngshàngcházhǎodexìnxī，bǎocúnxiàlái，zàiqiēduànwǎngluòliánjiējìnxínggōngzuò。	If it is necessary to use a computer to complete the task, you can first gather the information you need to find on the Internet, saved, and then cut off the network connection to work.
发挥群体作用。	fāhūiqúntǐzuòyòng。	Role play groups.
人类是群体动物，离开群体做一件事便会增加那件事的难度。	rénlèishìqúntǐdòngwù，líkāiqúntǐzuòyījiànshìbiànhùizēngjiānàjiànshìdenándù。	Human beings are group animals, leaving the group to do one thing that will increase the difficulty of the matter.
比如你想自己一个人学中文，这就比你去学校和几个同学一起学习坚持下来要更有难度。	bǐrúnǐxiǎngzìjǐyīgèrénxuézhōngwén，zhèjìubǐnǐqùxuéxiàohéjīgètóngxuéyīqǐxuéxíjiānchíxiàláiyàogèngyǒunándù。	For example, you want to own a person to learn Chinese, which is more than you go to school, and several students learn to stick together more difficult.
如果你的中文水平已经到了可以继续自学的程度，也建议你找一些和你一样正在学习中文的人互相交流学习的感受、经验等。	rúguǒnǐdezhōngwénshǔipíngyǐjīngdàolekěyǐjìxùzìxuédechéngdù，yějiànyìnǐzhǎoyīxiēhénǐyīyángzhèngzàixuéxízhōngwénderénhùxiāngjiāolíuxuéxídegǎnshòu、jīngyànděng。	If your Chinese level has reached a degree of self-study can continue, but also suggest you find some people like you are learning Chinese mutual exchange of learning experience, experience.
比如，follow 我们的 facebook 主页，感受到你不是一个人在学习，你遇见的困难大多数人也正在经历。	bǐrú，follow wǒmende facebook zhǔyè，gǎnshòudàonǐbùshìyīgèrénzàixuéxí，nǐyùjiàndekùnnándàduōshùrényězhèngzàijīnglì。	For example, follow our facebook page, you feel you are not alone in learning difficulties you meet most people are going through.
还有别忘了永远支持你的我！	huányǒubiéwàngleyǒngyuǎnzhīchínǐdewǒ！	And do not forget I will always support you!
像火箭一样发射。	xiànghuǒjiànyīyángfāshè。	Like, like launching rockets.
最后与大家分享一个非常简单却非常有效的防止拖延的方法，也是我个人最喜欢、屡试不爽2的方法。	zùihòuyǔdàjiāfēnxiǎngyīgèfēichángjiǎndānquèfēichángyǒuxiàodefángzhǐtuōyándefāngfǎ，yěshìwǒgèrénzùixǐhuān、lv̌shìbùshuǎng2defāngfǎ。	Finally, sharing a very simple but very effective way to prevent procrastination with you, it is my personal favorite, the time-tested method.
当你在进行做还是不做的思想斗争时，别再想下去，心里默数：3，2，1 立即起身去做你需要完成的任务。	dāngnǐzàijìnxíngzuòhuánshìbùzuòdesīxiǎngdǒuzhēngshí，biézàixiǎngxiàqù，xīnlǐmòshù：3，2，1 lìjíqǐshēnqùzuònǐxūyàowánchéngderènwù。	When you do during the ideological struggle no go, and do not want to go, and my heart silently count: 3,2,1 immediately got to do what you need to accomplish.
比如，当你在纠结要不要洗碗时，倒数 3，2，1 然后像发射火箭一样去厨房洗碗；当你在纠结要不要去健身房时，倒数 3，2，1 然后像发射火箭一样换身衣服立即出门等。	bǐrú，dāngnǐzàijīujiéyàobùyàoxǐwǎnshí，dǎoshù 3，2，1 ránhòuxiàngfāshèhuǒjiànyīyángqùchúfángxǐwǎn；dāngnǐzàijīujiéyàobùyàoqùjiànshēnfángshí，dǎoshù 3，2，1 ránhòuxiàngfāshèhuǒjiànyīyánghuànshēnyīfúlìjíchūménděng。	For example, when you do not want to wash dishes in a tangle, then the countdown 3,2,1 like launching a rocket goes to the kitchen; when you're tangled want to go to the gym, then the countdown 3,2,1 like launching a rocket change clothes to go out immediately and so on.
今天我们聊了如何克服拖延症的 8 个方法，是否对你有一些启发呢？	jīntiānwǒmenliáolerúhékèfútuōyánzhèngde 8 gèfāngfǎ，shìfǒudùinǐyǒuyīxiēqǐfāní？	Today we talked for eight methods how to overcome procrastination, is there some inspiration to How about you?
别想太多，现在就倒数 3，2，1 立即尝试吧！	biéxiǎngtàiduō，xiànzàijìudǎoshù 3，2，1 lìjíchángshìba！	Do not try too much, and now the countdown 3,2,1 immediately try it!
本期节目的讨论话题是：你为自己定下的长期目标是什么？	běnqījiémùdetǎolùnhuàtíshì：nǐwèizìjǐdìngxiàdechángqīmùbiāoshìshíyāo？	Discuss topics of this program is: what long-term goals you set for yourself is?
可以是任何方面的目标。	kěyǐshìrènhéfāngmiàndemùbiāo。	It may be a target in any way.
欢迎来我们的 twitter 等社交平台告诉我你的答案。	huānyíngláiwǒmende twitter děngshèjiāopíngtáigàosùwǒnǐdedáàn。	Welcome to our twitter and other social networking platforms to tell me what to say.
如 果 你 觉 得 本 期 节 目 对 你 学 习 中 文 有 帮 助 ， 请 关 注 我 们 的 facebook 主页，在 iTunes 上关注我们的节目、给我们一个五星评价。	rú guǒ nǐ jué dé běn qī jié mù dùi nǐ xué xí zhōng wén yǒu bāng zhù ， qǐng guān zhù wǒ men de facebook zhǔyè，zài iTunes shàngguānzhùwǒmendejiémù、gěiwǒmenyīgèwǔxīngpíngjià。	If you feel that this section of the project you learn there is help in the text, please concern our facebook page, look at our programs on iTunes, give us a five-star rating.
只有五星评价多的节目才更容易被大家搜索到。	zhǐyǒuwǔxīngpíngjiàduōdejiémùcáigèngróngyìbèidàjiāsōusuǒdào。	Only five-star rating and more people show it is more likely to be searched.
感谢你的举手之劳！	gǎnxiènǐdejǔshǒuzhīláo！	Thank you for your lifting a finger!
如果你有任何的疑问、建议请发邮件与我联系。	rúguǒnǐyǒurènhédeyíwèn、jiànyìqǐngfāyóujiànyǔwǒliánxì。	If you have any questions, suggestions please email contact me.
你也可以在本期节目下留言。	nǐyěkěyǐzàiběnqījiémùxiàlíuyán。	You can also leave a message in this program.
下期节目我们会聊一句生活流行用语。	xiàqījiémùwǒmenhùiliáoyījùshēnghuólíuxíngyòngyǔ。	Our next program we will talk for a living popular language.
感谢你收听本期节目！	gǎnxiènǐshōutīngběnqījiémù！	Thank you for listening to this program!
别忘了你们的支持就是我的动力！	biéwànglenǐmendezhīchíjìushìwǒdedònglì！	Do not forget your support is my motivation!
祝你周末愉快！	zhùnǐzhōumòyúkuài！	Have a nice weekend!
我们下周再见！	wǒmenxiàzhōuzàijiàn！	We see you next week!
他陪朋友去参加电影试镜，本来是去打酱油的，没想到最终却被导演看上，当上男一号了！	tāpéipéngyǒuqùcānjiādiànyǐngshìjìng，běnláishìqùdǎjiàngyóude，méixiǎngdàozùizhōngquèbèidǎoyǎnkànshàng，dāngshàngnányīhàole！	He accompanied a friend to go to a movie audition, was supposed to play soy sauce, I did not expect the director finally being spotted, when the male lead it!
打酱油和电影有什么关系？	dǎjiàngyóuhédiànyǐngyǒushíyāoguānxì？	Soy sauce and the movie have anything to do?
别着急，让我们进入今天的节目吧！	biézháojí，ràngwǒmenjìnrùjīntiāndejiémùba！	Do not worry, let's get into today's program now!
您正在收听的是：《自然而然说中文》，第九期：网络流行语——打酱油。	nínzhèngzàishōutīngdeshì：《zìránérránshuōzhōngwén》，dìjǐuqī：wǎngluòlíuxíngyǔ——dǎjiàngyóu。	You're listening to: naturally speak Chinese, Ninth: Network buzzwords - soy sauce.
我是佳佳，新的一周你是否又进步了一点点呢？	wǒshìjiājiā，xīndeyīzhōunǐshìfǒuyòujìnbùleyīdiǎndiǎnní？	I'm Allison, a new week and you progress a little bit of it?
别忘了你可以去我们的 facebook 主页, wordpress 博客，twitter及 pinterest 免费下载本期节目的文本。	biéwànglenǐkěyǐqùwǒmende facebook zhǔyè, wordpress bókè，twitterjí pinterest miǎnfèixiàzàiběnqījiémùdewénběn。	Do not forget you can go to our facebook page, wordpress blog, twitter and pinterest free download text of this program.
除了发布节目和其讨论话题的两天外，其他三天工作日我们会每天在以上平台发布一张图片来帮你积累一些有用的中文知识点，所以你可以在任何一个你常用的这些社交平台上关注我们。	chúlefābùjiémùhéqítǎolùnhuàtídeliǎngtiānwài，qítāsāntiāngōngzuòrìwǒmenhùiměitiānzàiyǐshàngpíngtáifābùyīzhāngtúpiànláibāngnǐjīlèiyīxiēyǒuyòngdezhōngwénzhīshìdiǎn，suǒyǐnǐkěyǐzàirènhéyīgènǐchángyòngdezhèxiēshèjiāopíngtáishàngguānzhùwǒmen。	In addition to two days of its release programs and discussion topics, the other three days working days we will publish a picture every day on more than one platform to help you accumulate some useful Chinese knowledge, so you can be on any one of these in your favorite social networking platform Follow us.
别忘了，学好中文必不可少的一点是保持每天学习的习惯。	biéwàngle，xuéhǎozhōngwénbìbùkěshǎodeyīdiǎnshìbǎochíměitiānxuéxídexíguàn。	Do not forget, the essential thing is to learn Chinese habit to keep learning every day.
节目开头我们用了打酱油这个词语，它是 2008 年当选的十大网络流行语之一，直到过去了十一年的今天人们还是在网络和生活中经常使用。	jiémùkāitóuwǒmenyòngledǎjiàngyóuzhègècíyǔ，tāshì 2008 niándāngxuǎndeshídàwǎngluòlíuxíngyǔzhīyī，zhídàoguòqùleshíyīniándejīntiānrénmenhuánshìzàiwǎngluòhéshēnghuózhōngjīngchángshǐyòng。	The beginning of the program we use soy sauce, the word, it is one of the ten network buzzwords elected in 2008 until today, eleven years later people still often used in the network and in life.
如果你想真正做到与中国人交谈没障碍，积累生活和网络流行语、俗语、俚语非常重要，因为在大家每天的生活中，谁也不会像教科书一样生硬地说话，这也是为什么只依靠教材是没法帮你达成自然而然说中文的程度。	rúguǒnǐxiǎngzhēnzhèngzuòdàoyǔzhōngguórénjiāotánméizhàngài，jīlèishēnghuóhéwǎngluòlíuxíngyǔ、súyǔ、lǐyǔfēichángzhòngyào，yīnwèizàidàjiāměitiāndeshēnghuózhōng，shúiyěbùhùixiàngjiàokēshūyīyángshēngyìngdìshuōhuà，zhèyěshìwèishíyāozhǐyīkàojiàocáishìméifǎbāngnǐdáchéngzìránérránshuōzhōngwéndechéngdù。	If you really do not want barriers to the accumulation of life and network buzzwords, slang, slang is very important because everybody everyday life, who would not speak like the textbooks as blunt talk with Chinese people, which is why relying only textbooks are not help you reach a level of naturally speak Chinese.
而帮助你自然、流利地说中文是我做这个节目的宗旨。	érbāngzhùnǐzìrán、líulìdìshuōzhōngwénshìwǒzuòzhègèjiémùdezōngzhǐ。	And to help you natural, fluent in Chinese is my purpose to do this show.
在此类型的节目中，我会先为你解释它的字面意思；然后，解释它真正的意义。	zàicǐlèixíngdejiémùzhōng，wǒhùixiānwèinǐjiěshìtādezìmiànyìsī；ránhòu，jiěshìtāzhēnzhèngdeyìyì。	In this type of program, I will first explain its literal meaning for you; then explain its true meaning.
接下来，告诉你它的出处；再通过举例或讲故事的方法帮你进行记忆和学会如何去使用它；最后，我们会一起来练习发音。	jiēxiàlái，gàosùnǐtādechūchù；zàitōngguòjǔlìhuòjiǎnggùshìdefāngfǎbāngnǐjìnxíngjìyìhéxuéhùirúhéqùshǐyòngtā；zùihòu，wǒmenhùiyīqǐláiliànxífāyīn。	Next, tell you where it comes from; then remember and learn how to use it by way of example or story-telling method to help you; and finally, we will work together to practice pronunciation.
打酱油的字面意思。	dǎjiàngyóudezìmiànyìsī。	Soy sauce, the literal meaning.
打酱油的打是一个多音字，比较常用的发音就是这里的dǎ，它的部首是扌（提手旁），右边是汉字丁。	dǎjiàngyóudedǎshìyīgèduōyīnzì，bǐjiàochángyòngdefāyīnjìushìzhèlǐdedǎ，tādebùshǒushì扌（tíshǒupáng），yòubiānshìhànzìdīng。	Soy sauce hit is a multi-tone words, pronunciation is more common here dǎ , it is the radical Rolling (next to the handle), the right Ding Chinese characters. 
大家知道中文是象形文字，部首的功能就是表示一个汉字的形象和意义。	dàjiāzhīdàozhōngwénshìxiàngxíngwénzì，bùshǒudegōngnéngjìushìbiǎoshìyīgèhànzìdexíngxiànghéyìyì。	We all know that Chinese hieroglyphs, radical function is to represent the image and meaning of a Chinese character.
